Course Name,Duration,Standard Fee,Early Bird Fee,Live Virtual Standard Fee,Live Virtual Early Bird Fee
10 Soft Skills You Need,1,695,545,545,445
Absence Management,1,695,545,545,445
Access 2013 Expert,1,695,545,545,445
Effective Vendor Management,1,695,545,545,445
Business Finance Basics,1,695,545,545,445
Customer Service Essentials,1,695,545,545,445
Professional Development Essentials,1,695,545,545,445
Essential Coaching Skills for Managers,1,695,545,545,445
Career Planning,1,695,545,545,445
Teamwork Skills: Communicating Effectively in Groups,1,695,545,545,445
Account Management,1,695,545,545,445
Agile & Scrum,1,695,545,545,445
Agile For Executives,1,695,545,545,445
AgileSHIFT,1,695,545,545,445
Big Data Overview,1,695,545,545,445
Big Data Strategy,1,695,545,545,445
Business Case Writing,1,695,545,545,445
Business Ethics,1,695,545,545,445
Business Etiquette,1,695,545,545,445
Business Networking,1,695,545,545,445
Business Presentations,1,695,545,545,445
Business Succession Planning,1,695,545,545,445
Business Writing,1,695,545,545,445
Coaching at Work,1,695,545,545,445
COBIT 5 And ITIL,1,695,545,545,445
Combining ITIL and COBIT for Service Management Improvement,1,695,545,545,445
Communication Skills,1,695,545,545,445
Communication Strategies,1,695,545,545,445
Conflict Management,1,695,545,545,445
Crisis Management,1,695,545,545,445
Cyber Security Overview,1,695,545,545,445
DevOps And ITSM,1,695,545,545,445
DevOps Awareness,1,695,545,545,445
Effective Change Management,1,695,545,545,445
Elements Of Risk Management,1,695,545,545,445
Emotional Intelligence,1,695,545,545,445
Employee Engagement,1,695,545,545,445
Essential Management Skills,1,695,545,545,445
Event Planning,1,695,545,545,445
Excel 2007 Advanced,1,695,545,545,445
Excel Data Analysis in Finance,1,695,545,545,445
Excel Super User,1,695,545,545,445
Excel VBA,1,695,545,545,445
High-Powered Excel for Finance,1,695,545,545,445
Human Resource Management,1,695,545,545,445
Internet Marketing Fundamentals,1,695,545,545,445
Internet of Things - Business Perspectives,1,695,545,545,445
Interview Skills,1,695,545,545,445
Introduction To Agile,1,695,545,545,445
Introduction To Software Test Automation,1,695,545,545,445
Introduction To Web Of Things,1,695,545,545,445
ITIL 4 Specialist: High Velocity IT,1,695,545,545,445
ITIL Foundation,1,695,545,545,445
Knowledge Management,1,695,545,545,445
Leading Effective Teams,1,695,545,545,445
Manager Management,1,695,545,545,445
Managing a Virtual Team,1,695,545,545,445
Managing Performance,1,695,545,545,445
Marketing Essentials,1,695,545,545,445
Mastering in DAX and Data Modeling,1,695,545,545,445
Maximising your Excel Productivity,1,695,545,545,445
Negotiation Skills - Expert,1,695,545,545,445
Negotiation Skills - Professional,1,695,545,545,445
ONF-Certified SDN Associate (OCSA),1,695,545,545,445
Organizational Skills,1,695,545,545,445
P3O Practitioner,1,695,545,545,445
Performance Management,1,695,545,545,445
Personal Branding,1,695,545,545,445
Power BI for Business Users,1,695,545,545,445
Power BI for Report Developers,1,695,545,545,445
Power Query (Get & Transform) for Excel and Power BI Desktop,1,695,545,545,445
Practical Sales Skills,1,695,545,545,445
Preparing for Job Interviews,1,695,545,545,445
Presentation Skills,1,695,545,545,445
Presentation Skills – Expert,1,695,545,545,445
Presentation Skills – Professional,1,695,545,545,445
Proposal Writing,1,695,545,545,445
Public Speaking,1,695,545,545,445
Quality Management,1,695,545,545,445
Recruitment Skills,1,695,545,545,445
Report Writing,1,695,545,545,445
Risk Assessment,1,695,545,545,445
Risk Assessment and Management,1,695,545,545,445
SDN Overview,1,695,545,545,445
Software Testing Essentials,1,695,545,545,445
Software Testing Essentials For Developers,1,695,545,545,445
Stakeholder Management,1,695,545,545,445
Stress Management,1,695,545,545,445
Supply Chain Management,1,695,545,545,445
Team Kanban Practitioner,1,695,545,545,445
Time Management,1,695,545,545,445
Train-The-Trainer,1,695,545,545,445
Wellness,1,695,545,545,445
Workplace Reflective Practice,1,695,545,545,445
Writing a CV,1,695,545,545,445
Agile For Product Owner,2,1195,1145,995,895
Agile Scrum Master,2,1195,1145,995,895
AgileScrum Foundation,2,1195,1145,995,895
Big Data Bootcamp,2,1195,1145,995,895
Business Process Analysis & Design,2,1195,1145,995,895
CCC - Blockchain Foundation,2,1195,1145,995,895
CCC-Big Data Foundation,2,1195,1145,995,895
CCC-Cloud Technology Associate,2,1195,1145,995,895
Change Management Practitioner,2,1195,1145,995,895
Cloud Essentials,2,1195,1145,995,895
COBIT 5 Assessor,2,1195,1145,995,895
Construction Project Manager,2,1195,1145,995,895
Cyber Security,2,1195,1145,995,895
DASA - DevOps Product Owner,2,1195,1145,995,895
DASA - DevOps Professional Enable And Scale - Pro,2,1195,1145,995,895
DBCM - Dynamic Business Case Management,2,1195,1145,995,895
DevOps Practitioner,2,1195,1145,995,895
EXIN - ITSM-ISO/IEC 20000 Foundation,2,1195,1145,995,895
Financial and Basic Accounting Principles for Project Managers,2,1195,1145,995,895
Financial Modelling In Excel,2,1195,1145,995,895
From Digital Strategy To Implementation,2,1195,1145,995,895
Fundamentals of SDLC,2,1195,1145,995,895
Fundamentals Of Software Testing,2,1195,1145,995,895
HDI Customer Service Representative,2,1195,1145,995,895
HDI Desktop Support Technician,2,1195,1145,995,895
HDI Support Center Analyst,2,1195,1145,995,895
HDI Support Center Team Lead,2,1195,1145,995,895
HDI Technical Support Professional,2,1195,1145,995,895
Implementing the NIST Cybersecurity Framework Using COBIT 5,2,1195,1145,995,895
Integrating Enterprise Architecture And Solution Architecture,2,1195,1145,995,895
Introduction To Data Analysis,2,1195,1145,995,895
ISTQB Foundation Extension Agile Tester,2,1195,1145,995,895
ITIL 4 Foundation - Pro,2,1195,1145,995,895
ITIL - Managing Across The Lifecycle (MALC),2,1195,1145,995,895
ITIL - Service Operation (SO),2,1195,1145,995,895
ITIL - Service Strategy (SS),2,1195,1145,995,895
Leading SAFe 5.0 Certification,2,1195,1145,995,895
Lean IT Value Stream Mapping - Mike Orzen Signature Course,2,1195,1145,995,895
Lean Six Sigma Black Belt,2,1195,1145,995,895
LITA Lean IT Foundation,2,1195,1145,995,895
Management Of Portfolios - Practitioner,2,1195,1145,995,895
Management Of Risk (M_o_R) Practitioner,2,1195,1145,995,895
Management Of Risk Foundation (M_o_R),2,1195,1145,995,895
Management Of Value (MoV) Foundation,2,1195,1145,995,895
Management Of Value (MoV) Practitioner,2,1195,1145,995,895
